EMPID,AGE,GRADE,Distance_From_Home_KM,TENURE_YRS,Grade_Numeric,Age_Tenure_Factor,Dist_Bin,Status,Resignation_Month_No,Resignation_Month_Name,Grade_Code,ZONE,MAIN_GROUP,Home_Location,Work_Location,RF_Probability,Regression_Probability,Attrition_Risk_Percentage,Risk_Level,ER manager ID
924197,42,MMI,2602,1.3,6,193.2,3,Active,,,6,East,Retail Banking Group,Pune,Siliguri,0,0.72,75.09991356,High,7777
562958,24,DMI,1742,1.3,4,31.2,3,Active,,,4,West,Retail Banking Group,Coimbatore,Jodhpur,0,2.13,52.85,Medium,4444
381632,32,DMI,440,7.1,4,227.2,3,Active,,,4,North,Operations Group,Patna,Lucknow,0,6.15,52.19,Medium,8888
363028,32,ALT,609,14.8,9,473.6,3,Active,,,0,East,Retail Banking Group,Kanpur,Ranchi,0,0.73,25.16,Low,5555
176588,48,AMI,1403,5.2,2,249.6,3,Active,,,1,East,Retail Banking Group,Ahmedabad,Cuttack,0,5.88,35.26,Low,7777
938521,26,AMII,81,3.1,3,80.6,2,Active,,,2,West,Retail Banking Group,Madurai,Mumbai,0,2.23,92.75793833,High,3333
328815,26,DMI,1151,7.1,4,184.6,3,Active,,,4,North,Retail Banking Group,Pune,Gurgaon,0,3.89,29.32,Low,7777
674253,40,DMII,463,6.7,5,268.0,3,Active,,,5,North,Retail Banking Group,Agra,Ludhiana,0,4.27,29.35,Low,8888
547239,46,DMI,1339,5.0,4,230.0,3,Active,,,4,East,Operations Group,Mysore,Cuttack,0,2.25,21.04,Low,5555
492904,46,MMII,2157,9.6,7,441.6,3,Active,,,7,South,Transaction Banking,Siliguri,Madurai,0,0.89,26.84,Low,4444
140937,40,MMII,884,9.5,7,380.0,3,Active,,,7,East,Retail Banking Group,Kanpur,Bhubaneswar,0,0.7,13.0,Low,8888
512461,55,MMI,884,5.9,6,324.5,3,Active,,,6,East,Credit,Kanpur,Bhubaneswar,0,1.35,24.09,Low,8888
307937,28,AMII,1213,4.4,3,123.2,3,Active,,,2,East,Retail Banking Group,Jodhpur,Patna,15,3.21,53.52,Medium,3333
187821,35,MMI,1436,3.2,6,112.0,3,Active,,,6,East,Retail Banking Group,Madurai,Cuttack,0,1.21,40.61,Medium,6666
736402,39,CM,1371,8.8,8,343.2,3,Active,,,3,West,Operations Group,Chennai,Ahmedabad,0,0.6,52.23,Medium,5555
781209,24,MMII,871,8.2,7,196.8,3,Active,,,7,North,Retail Banking Group,Ahmedabad,Kanpur,0,0.88,12.17,Low,2222
720230,43,MMI,0,7.7,6,331.1,3,Active,,,6,West,Retail Banking Group,Jodhpur,Jodhpur,0,2.31,38.34,Low,8888
912391,25,AMII,1042,1.8,3,45.0,3,Active,,,2,West,Retail Banking Group,Bangalore,Surat,67,3.68,75.43,High,6666
118675,26,CM,1278,6.6,8,171.6,2,Active,,,3,West,Retail Banking Group,Cuttack,Pune,0,0.37,36.84,Low,2222
302361,41,AMI,2174,1.3,2,102.5,3,Active,,,1,East,Retail Banking Group,Madurai,Ranchi,0,4.66,84.85698609,High,5555
853594,51,MMI,1163,7.7,6,392.7,3,Active,,,6,South,Retail Banking Group,Mumbai,Madurai,0,1.22,49.74,Medium,1111
522606,48,DMII,728,6.3,5,302.4,3,Active,,,5,North,Credit,Jodhpur,Kanpur,0,1.58,32.61,Low,6666
690831,36,CM,1149,6.4,8,230.4,3,Active,,,3,South,Retail Banking Group,Nagpur,Coimbatore,0,0.5,49.24,Medium,9999
640867,23,DMI,1654,0.2,4,4.6,3,Active,,,4,West,Retail Banking Group,Kolkata,Mumbai,0,2.47,49.89,Medium,1111
301108,52,DMI,0,3.1,4,161.2,3,Active,,,4,West,Retail Banking Group,Mumbai,Mumbai,0,1.85,26.29,Low,3333
165878,33,AMII,1344,7.2,3,237.6,3,Active,,,2,South,Wholesale Banking,Noida,Visakhapatnam,63,4.9,73.59,Medium,7777
405144,50,DMI,202,4.3,4,215.0,3,Active,,,4,South,Retail Banking Group,Madurai,Kochi,0,4.05,26.84,Low,4444
461301,54,DMII,1755,5.5,5,297.0,3,Active,,,5,South,Retail Banking Group,Delhi,Chennai,0,2.12,32.6,Low,9999
490754,44,AMII,837,0.1,3,4.4,1,Active,,,2,West,Operations Group,Nagpur,Jodhpur,0,1.23,42.4,Medium,3333
908857,23,DMII,849,4.0,5,92.0,3,Active,,,5,West,Retail Banking Group,Agra,Surat,2,3.19,39.19,Low,5555
426751,47,MMI,1241,0.3,6,14.1,3,Active,,,6,North,Retail Banking Group,Cuttack,Noida,0,1.3,37.7,Low,3333
397949,32,AMII,851,4.0,3,128.0,3,Active,,,2,North,Credit,Nagpur,Delhi,82,5.26,70.27,Medium,7777
225295,26,DMI,1348,5.4,4,140.4,2,Active,,,4,West,Transaction Banking,Ludhiana,Mumbai,0,1.68,7.76,Low,5555
664709,47,CM,2056,1.4,8,310.2,3,Active,,,3,South,Transaction Banking,Ranchi,Visakhapatnam,0,0.57,65.24356166386308,Medium,9999
544683,41,MMII,2061,8.6,7,352.6,3,Active,,,7,South,Credit,Gurgaon,Kochi,0,0.72,17.88,Low,7777
102475,44,SO,3308,1.4,1,259.6,3,Active,,,8,North,Retail Banking Group,Gurgaon,Agra,0,5.25,91.48073371,High,2222
873824,51,AMII,511,1.2,3,61.2,3,Active,,,2,West,Retail Banking Group,Lucknow,Jaipur,16,2.41,58.66,Medium,4444
225284,33,ALT,0,15.0,9,495.0,3,Active,,,0,North,Retail Banking Group,Noida,Noida,0,0.93,25.01,Low,9999
733216,43,CM,19,5.6,8,240.8,3,Active,,,3,North,Retail Banking Group,Noida,Delhi,0,1.26,41.33,Medium,2222
823236,47,SO,2620,1.2,1,263.2,3,Active,,,8,East,Retail Banking Group,Bhubaneswar,Patna,1,11.15,77.86362085,High,9999
781546,36,ALT,469,14.8,9,532.8,3,Active,,,0,East,Operations Group,Patna,Kolkata,0,2.0,45.89,Medium,5555
142237,43,DMI,2741,0.8,4,245.1,3,Active,,,4,East,Retail Banking Group,Patna,Cuttack,0,5.42,90.29805578,High,2222
647640,38,MMII,0,8.3,7,315.4,1,Active,,,7,South,Wholesale Banking,Mysore,Mysore,0,0.53,18.77,Low,4444
750415,45,ALT,837,13.8,9,621.0,3,Active,,,0,West,Retail Banking Group,Nagpur,Jodhpur,0,1.61,50.42,Medium,7777
273148,34,ALT,1800,12.7,9,431.8,3,Active,,,0,West,Operations Group,Siliguri,Mumbai,0,1.78,30.3,Low,8888
434982,42,AMII,1742,3.0,3,126.0,3,Active,,,2,West,Operations Group,Coimbatore,Jodhpur,5,2.75,61.93,Medium,3333
642667,37,AMI,1391,6.6,2,244.2,3,Active,,,1,West,Wholesale Banking,Ludhiana,Pune,0,4.93,53.31,Medium,1111
346901,27,MMII,1196,7.0,7,189.0,3,Active,,,7,East,Transaction Banking,Bangalore,Bhubaneswar,0,2.12,48.12,Medium,4444
340644,25,AMII,499,0.8,3,20.0,3,Active,,,2,South,Retail Banking Group,Hyderabad,Bangalore,70,2.52,77.59,High,2222
332361,22,AMII,926,5.4,3,118.8,3,Active,,,2,South,Retail Banking Group,Mysore,Visakhapatnam,0,3.35,56.18,Medium,8888
191947,26,MMI,1819,0.6,6,122.2,3,Active,,,6,East,Retail Banking Group,Pune,Bhubaneswar,1,1.31,79.87138364,High,4444
976203,35,MMI,175,5.8,6,203.0,3,Active,,,6,South,Retail Banking Group,Madurai,Coimbatore,0,2.74,34.52,Low,2222
911575,56,ALT,1037,10.2,9,571.2,3,Active,,,0,East,Operations Group,Jaipur,Ranchi,0,0.53,34.72,Low,6666
120373,28,DMII,953,2.7,5,75.6,2,Active,,,5,West,Retail Banking Group,Pune,Jaipur,5,0.91,28.54,Low,6666
627694,56,AMII,1773,6.7,3,375.2,3,Active,,,2,East,Credit,Kochi,Ranchi,10,3.08,48.34,Medium,4444
285598,22,DMII,1033,1.7,5,37.4,3,Active,,,5,West,Retail Banking Group,Chennai,Mumbai,0,2.53,53.96,Medium,6666
845842,39,MMI,1131,1.6,6,62.4,3,Active,,,6,West,Retail Banking Group,Ludhiana,Nagpur,0,0.66,36.33,Low,2222
106146,43,DMI,0,0.2,4,8.6,3,Active,,,4,North,Retail Banking Group,Noida,Noida,0,1.53,33.24,Low,2222
184650,34,DMII,1354,4.4,5,149.6,3,Active,,,5,East,Transaction Banking,Surat,Bhubaneswar,0,3.19,40.29,Medium,4444
127697,56,MMII,1944,8.3,7,464.8,2,Active,,,7,North,Retail Banking Group,Kochi,Lucknow,0,0.47,32.66,Low,8888
741733,32,MMII,1094,5.7,7,182.4,3,Active,,,7,East,Retail Banking Group,Agra,Cuttack,0,1.26,26.06,Low,7777
342503,56,MMI,1357,2.2,6,123.2,3,Active,,,6,East,Retail Banking Group,Jaipur,Kolkata,0,0.71,46.63,Medium,9999
796365,57,ALT,463,12.1,9,689.7,3,Active,,,0,North,Retail Banking Group,Agra,Ludhiana,0,1.21,40.42,Medium,8888
523106,34,AMII,1904,5.8,3,197.2,3,Active,,,2,North,Credit,Madurai,Lucknow,13,3.64,58.17,Medium,5555
