EMPID,AGE,GRADE,Distance_From_Home_KM,TENURE_YRS,Grade_Numeric,Age_Tenure_Factor,Dist_Bin,Status,Resignation_Month_No,Resignation_Month_Name,Grade_Code,ZONE,MAIN_GROUP,Home_Location,Work_Location,RF_Probability,Regression_Probability,Attrition_Risk_Percentage,Risk_Level,ER manager ID
924197,42,MMI,2602,1.3,6,193.2,3,Active,,,6,East,Retail Banking Group,Pune,Siliguri,0,0.72,51.23620356542087,Medium,7777
562958,27,DMI,1742,1.3,4,31.2,3,Active,,,4,West,Retail Banking Group,Coimbatore,Jodhpur,0,2.13,52.85,Medium,4444
381632,32,DMI,440,7.1,4,227.2,3,Active,,,4,North,Operations Group,Patna,Lucknow,0,6.15,52.19,Medium,8888
363028,32,ALT,609,14.8,9,473.6,3,Active,,,0,East,Retail Banking Group,Kanpur,Ranchi,0,0.73,25.16,Low,5555
176588,28,AMI,1403,5.2,2,249.6,3,Active,,,1,East,Retail Banking Group,Ahmedabad,Cuttack,0,5.88,35.26,Low,7777
938521,26,AMII,81,3.1,3,80.6,2,Active,,,2,West,Retail Banking Group,Madurai,Mumbai,0,2.23,68.52142919229749,Medium,3333
328815,26,DMI,1151,7.1,4,184.6,3,Active,,,4,North,Retail Banking Group,Pune,Gurgaon,0,3.89,29.32,Low,7777
674253,40,DMII,463,6.7,5,268.0,3,Active,,,5,North,Retail Banking Group,Agra,Ludhiana,0,4.27,29.35,Low,8888
547239,46,DMI,1339,5.0,4,230.0,3,Active,,,4,East,Operations Group,Mysore,Cuttack,0,2.25,21.04,Low,5555
492904,46,MMII,2157,9.6,7,441.6,3,Active,,,7,South,Transaction Banking,Siliguri,Madurai,0,0.89,26.84,Low,4444
140937,40,MMII,884,9.5,7,380.0,3,Active,,,7,East,Retail Banking Group,Kanpur,Bhubaneswar,0,0.7,13.0,Low,8888
512461,55,MMI,884,5.9,6,324.5,3,Active,,,6,East,Credit,Kanpur,Bhubaneswar,0,1.35,24.09,Low,8888
307937,28,AMII,1213,4.4,3,123.2,3,Active,,,2,East,Retail Banking Group,Jodhpur,Patna,15,3.21,53.52,Medium,3333
187821,35,MMI,1436,3.2,6,112.0,3,Active,,,6,East,Retail Banking Group,Madurai,Cuttack,0,1.21,40.61,Medium,6666
736402,39,CM,1371,8.8,8,343.2,3,Active,,,3,West,Operations Group,Chennai,Ahmedabad,0,0.6,52.23,Medium,5555
781209,43,MMII,871,8.2,7,196.8,3,Active,,,7,North,Retail Banking Group,Ahmedabad,Kanpur,0,0.88,12.17,Low,2222
720230,29,MMI,0,4.1,6,331.1,3,Active,,,6,West,Retail Banking Group,Jodhpur,Jodhpur,0,2.31,81.57519744829106,High,8888
912391,25,AMII,1042,1.8,3,45.0,3,Active,,,2,West,Retail Banking Group,Bangalore,Surat,67,3.68,61.95981825434215,Medium,6666
118675,43,CM,1278,6.6,8,171.6,2,Active,,,3,West,Retail Banking Group,Cuttack,Pune,0,0.37,36.84,Low,2222
