EMPID,AGE,GRADE,Distance_From_Home_KM,TENURE_YRS,Grade_Numeric,Age_Tenure_Factor,Dist_Bin,Status,Resignation_Month_No,Resignation_Month_Name,Grade_Code,ZONE,MAIN_GROUP,Work_Location,Home_Location,Home_State,Office_State,RF_Probability,Regression_Probability,Attrition_Risk_Percentage,Risk_Level,ER manager ID
924197,42,MMI,334,4.6,6,193.2,3,Active,,,6,East,Retail Banking Group,Kolkata,Uttar Pradesh,Delhi,Tamil Nadu,0,0.72,18.23,Low,7777
562958,24,DMI,755,1.3,4,31.2,3,Active,,,4,West,Retail Banking Group,Mumbai,Tamil Nadu,Delhi,West Bengal,0,2.13,52.85,Medium,4444
381632,32,DMI,1645,7.1,4,227.2,3,Active,,,4,North,Operations Group,New Delhi,West Bengal,Tamil Nadu,Tamil Nadu,0,6.15,52.19,Medium,8888
363028,32,ALT,642,14.8,9,473.6,3,Active,,,0,East,Retail Banking Group,Kolkata,Uttar Pradesh,West Bengal,Uttar Pradesh,0,0.73,25.16,Low,5555
176588,48,AMI,1066,5.2,2,249.6,3,Active,,,1,East,Retail Banking Group,Kolkata,Karnataka,West Bengal,Tamil Nadu,0,5.88,35.26,Low,7777
938521,26,AMII,190,3.1,3,80.60000000000002,2,Active,,,2,West,Retail Banking Group,Mumbai,West Bengal,Tamil Nadu,West Bengal,0,2.23,44.37,Medium,3333
328815,26,DMI,974,7.1,4,184.6,3,Active,,,4,North,Retail Banking Group,New Delhi,West Bengal,Telangana,Karnataka,0,3.89,29.32,Low,7777
674253,40,DMII,1819,6.7,5,268.0,3,Active,,,5,North,Retail Banking Group,New Delhi,Uttar Pradesh,West Bengal,Uttar Pradesh,0,4.27,29.35,Low,8888
547239,46,DMI,803,5.0,4,230.0,3,Active,,,4,East,Operations Group,Kolkata,Delhi,Uttar Pradesh,Maharashtra,0,2.25,21.04,Low,5555
492904,46,MMII,653,9.6,7,441.6,3,Active,,,7,South,Transaction Banking,Chennai,Karnataka,Telangana,Delhi,0,0.89,26.84,Low,4444
